Cod_Estable,Cod_Evaluacion,Cantidad_Estud,Num_Boleta,Barcode,Tipo_Eval,Mate_Tipo_Eval,Lect_Tipo_Eval,Corr_Año,Region,Cod_Region,Departamento,Cod_Depa,Municipio,Cod_Muni,Nivel,Cod_Nivel,Rama_Abstracta,Cod_Rama_Abstracta,Fecha_Nacimiento,Edad,Edad_Reco,Sexo_Reco,Sector,Area,Cod_Area,Jornada,Cod_Jornada,Ciclo,Cod_Ciclo,Cod_Distrito,Año_Cierre,Identificacion_Etnica_RECO,Ed_Asistio_Preprimaria,Ed_Repitio_Algun_Grado,Ed_Trabaja_Actualmente,Fm_Asistio_Escuela_Papa,Fm_Grado_Alcanzo_Papa_RECO,Fm_Asistio_Escuela_Mama,Fm_Grado_Alcanzo_Mama_RECO,CC_Material_Predomina_En_Piso_Casa,Pp_Tierra,Pp_Madera_Rustica,Pp_Torta_Cemento,Pp_Piso_Granito,Pp_Piso_Ceramico,Pp_Madera_Fina,CC_Material_Predomina_En_Paredes_Casa,Pa_Madera_Rustica,Pa_Adobe,Pa_Lamina,Pa_Block,Pa_Ladrillo,Pa_Madera_Fina,CC_Material_Predomina_En_Techo_Casa,Pt_Material_Perecedero,Pt_Lamina,Pt_Teja,Pt_Duralita,Pt_Terraza_Fundida,CC_Como_Obtiene_Agua_Utiliza_Casa,Al_Fuente_Natural,Al_Chorro_Publico,Al_Tuberia,Al_Comprada,Al_Otro,CC_Servicios_Casa,Sc_Tiene_Celular,Sc_Drenaje,Sc_Servicio_Tv_Cable,Sc_Electricidad,Sc_Basura,Sc_Cuenta_Linea_Telefonica,Sc_Servicio_Internet,CC_Ambiente_Cocina_Separada,CC_Combustible_Utiliza_Cocina,CU_Leña,CU_Gas,CU_Electricidad,CC_Electrodomesticos,Smart_Tv,Secadora,Refrigerador,Computadora,Horno_Microondas,Horno_Tostador,Lavadora,Impresora,CC_Familia_Automovil,Tec_Utiliza_Internet_Para_Investigaciones,Tec_Recibido_Curso_Computacion,Mate_Periodos_Matematicas_Semana,Mate_Periodos_Matematicas_Semana_Reco,Lect_Periodos_Lectura_Semana,Lect_Periodos_Lectura_Semana_Reco,Lect_Libros_Completos_Ha_Leido,Lectura_Gusto,Lectura_Horas,Lectura_Horas_Rec,Despues_Graduacion,Grad_No_Se,Grad_Seguir_Estudiando,Grad_Trabajar,Grad_Formar_Familia,Grad_Trabajar_Extranjero,Gustaria_Universidad,Informacion_Prueba_32,Informacion_Prueba_33,Informacion_Prueba_34,Informacion_34_Guias,Informacion_34_Pruebat,Informacion_34_Reforzamiento,Informacion_34_Despues_De_Clase,Informacion_34_Otra,Informacion_34_Ninguna,Indice_Estrategias_35,Indice_Estrategias_36,Indice_Estraregias_37,Indice_Estrategias_38,Indice_Estrategias_39,Indice_Estrategias_40,Indice_Estrategias_41,Indice_Est_35_Reco,In_35_1,In_35_2,In_35_3,In_35_4,Indice_Est_36_Reco,In_36_1,In_36_2,In_36_3,In_36_4,Indice_Est_37_Reco,In_37_1,In_37_2,In_37_3,In_37_4,Indice_Est_38_Reco,In_38_1,In_38_2,In_38_3,In_38_4,Indice_Est_39_Reco,In_39_1,In_39_2,In_39_3,In_39_4,Indice_Est_40_Reco,In_40_1,In_40_2,In_40_3,In_40_4,Indice_Est_41_Reco,In_41_1,In_41_2,In_41_3,In_41_4,Indice_Lectura_42,Indice_Lectura_43,Indice_Lectura_44,Indice_Lectura_45,Indice_Lectura_46,Indice_Matematica_47,Indice_Matematica_48,Indice_Matematica_49,Indice_Matematica_50,Indice_Matematica_51,Indice_Matematica_52,Indice_Lect_42_Reco,In_42_1,In_42_2,In_42_3,In_42_4,Indice_Lect_43_Reco,In_43_1,In_43_2,In_43_3,In_43_4,Indice_Lect_44_Reco,In_44_1,In_44_2,In_44_3,In_44_4,Indice_Lect_45_Reco,In_45_1,In_45_2,In_45_3,In_45_4,Indice_Lect_46_Reco,In_46_1,In_46_2,In_46_3,In_46_4,Indice_Mate_47_Reco,In_47_1,In_47_2,In_47_3,In_47_4,Indice_Mate_48_Reco,In_48_1,In_48_2,In_48_3,In_48_4,Indice_Mate_49_Reco,In_49_1,In_49_2,In_49_3,In_49_4,Indice_Mate_50_Reco,In_50_1,In_50_2,In_50_3,In_50_4,Indice_Mate_51_Reco,In_51_1,In_51_2,In_51_3,In_51_4,Indice_Mate_52_Reco,In_52_1,In_52_2,In_52_3,In_52_4,Generalidades_53,Generalidades_53_Reco,Generalidades_54,Generalidades_54_Reco,Generalidades_55,Generalidades_56,Gen_56_Internet_Residencial,Gen_56_Celular_Datos,Gen_56_Recarga_Internet,Gen_56_Internet_Familiar,Gen_56_Internet_Amigo,Gen_56_No_Virtual,Gen_56_Cafe_Internet,Gen_56_Otro,Gen_56_Otro_Describa,Generalidades_57,Generalidades_58,Generalidades_59,Generalidades_60,Gen_60_Zoom,Gen_60_Google_Meet,Gen_60_Whatsapp,Gen_60_Ms_Teams,Gen_60_No_Virtuales,Gen_60_Otro_Programa,Gen_60_Otro_Describa,General_61_Reco,Ge_61_1,Ge_61_2,Ge_61_3,Ge_61_4,Generalidades_62,Gen_62_Senal,Gen_62_Economicos,Gen_62_Plataforma_Virtual,Gen_62_Falta_Apoyo,Gen_62_No_Dispositivo_Elec,Gen_62_Falta_Motivacion,Gen_62_Ninguna,Generalidades_63,Gen_63_Clases_Radiales,Gen_63_Clases_Tv,Gen_63_Modulo_O_Guia,Gen_63_Plataforma,Gen_63_Material_Periodicos,Gen_63_Otro_Recurso_Utilizó,Gen_63_Otro_Describa,Measure_Mate,Measure_Lect,Desempeño_Mate,Desempeño_Lect,Logro_Mate,Logro_Lect
05-02-0232-46,5232681328,42,201684,055232681328,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,19/03/2005,17,2,0,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,1,0,0,1,2,1,3,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,1,0,0,Lamina,0,1,0,0,0,Entubada,0,0,1,0,0,Celulares Cable Electricidad Internet,1,0,1,1,0,0,1,1,Gas,0,1,0,Refri Lavadora Micro Compu Smart_Tv Impresora,1,0,1,1,1,0,1,1,1,1,1,5,5,4,4,2,1,2_o_Menos,1,No_Se,1,0,0,0,0,1,1,1,Pruebat,0,1,0,0,0,0,1,1,2,1,1,3,1,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,2,0,1,0,0,4,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,A_Distancia,2,Presencial,1,1,Internet_Residencial,1,0,0,0,0,0,0,0,,0,1,1,Zoom,1,0,0,0,0,0,,4,0,0,0,1,No_Dispositivo_Elec,0,0,0,0,1,0,0,Clases_Tv Modulo_o_Guia Plataforma,0,1,1,1,0,0,,0.272,0.829,2,3,0,1
05-02-0232-46,5357921801,42,201690,055357921801,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,31/01/2005,17,2,1,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,#NULL!,0,0,1,4,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,1,0,0,Terraza_Fundida,0,0,0,0,1,Entubada,0,0,1,0,0,Celulares Drenaje Cable Electricidad Basura Telefono_Fijo Internet,1,1,1,1,1,1,1,0,Gas,0,1,0,Refri Lavadora Micro Compu Smart_Tv Horno_Tostador Impresora,1,0,1,1,1,1,1,1,1,1,1,5,5,6,6,4,0,2_o_Menos,1,Estudiar Trabajar Ir_Al_Extranjero,0,1,1,0,1,1,1,0,Pruebat,0,1,0,0,0,0,1,1,2,2,1,2,1,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,3,0,0,1,0,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,3,2,4,2,1,1,1,1,1,2,2,2,0,1,0,0,3,0,0,1,0,1,1,0,0,0,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,3,0,0,1,0,A_Distancia,2,Presencial,1,1,Internet_Residencial Celular_Datos Recarga_Internet,1,1,1,0,0,0,0,0,,0,1,2,Zoom,1,0,0,0,0,0,,4,0,0,0,1,Señal Plataforma_Virtual,1,0,1,0,0,0,0,Modulo_o_Guia Plataforma,0,0,1,1,0,0,,0.478,-1.092,2,1,0,0
05-02-0232-46,5575463234,42,201691,055575463234,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,19/01/2005,17,2,0,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,1,0,0,1,3,1,4,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,1,0,0,Lamina,0,1,0,0,0,Fuente_Natural,1,0,0,0,0,Celulares Cable Electricidad Basura Internet,1,0,1,1,1,0,1,1,Gas,0,1,0,Refri Micro Compu Smart_Tv Impresora,1,0,1,1,1,0,0,1,1,1,1,5,5,1,1,4,1,2_o_Menos,1,Estudiar,0,1,0,0,0,1,1,1,Guias Pruebat,1,1,0,0,0,0,1,1,1,1,3,2,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,2,0,1,0,0,3,0,0,1,0,4,0,0,0,1,1,1,2,2,2,1,1,1,1,1,1,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,A_Distancia,2,Presencial,1,1,Internet_Residencial,1,0,0,0,0,0,0,0,,0,1,1,Zoom Google_Meet Whatsapp,1,1,1,0,0,0,,4,0,0,0,1,Señal Plataforma_Virtual,1,0,1,0,0,0,0,Plataforma,0,0,0,1,0,0,,-0.069,-0.287,1,1,0,0
05-02-0232-46,5688220097,42,201685,055688220097,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,26/06/2004,17,2,0,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,1,1,0,1,3,1,2,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,1,0,0,Terraza_Fundida,0,0,0,0,1,Chorro_Publico,0,1,0,0,0,Celulares Drenaje Cable Electricidad Basura Internet,1,1,1,1,1,0,1,1,,0,0,0,Refri Lavadora Micro Compu Smart_Tv Horno_Tostador Impresora,1,0,1,1,1,1,1,1,0,1,1,5,5,Ninguno,0,5,1,2_o_Menos,1,Estudiar,0,1,0,0,0,1,1,1,Pruebat,0,1,0,0,0,0,1,1,1,1,1,1,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,1,1,#NULL!,#NULL!,2,1,1,1,1,1,1,4,0,0,0,1,4,0,0,0,1,#NULL!,0,0,0,0,#NULL!,0,0,0,0,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,A_Distancia,2,Presencial,1,1,Internet_Residencial Internet_Familiar,1,0,0,1,0,0,0,0,,0,1,2,Zoom Google_Meet Ms_Teams,1,1,0,1,0,0,,4,0,0,0,1,Señal,1,0,0,0,0,0,0,Plataforma,0,0,0,1,0,0,,0.478,0.034,2,2,0,0
05-02-0232-46,5854921419,42,201696,055854921419,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,12/05/2005,16,1,0,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,1,0,0,1,4,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,1,0,0,Lamina,0,1,0,0,0,Otro,0,0,0,0,1,Celulares Drenaje Electricidad Basura Internet,1,1,0,1,1,0,1,1,Gas,0,1,0,Refri Lavadora Micro Compu Smart_Tv Horno_Tostador,1,0,1,1,1,1,1,0,1,1,1,5,5,Ninguno,0,6,1,6_o_Mas,3,Estudiar Trabajar,0,1,1,0,0,1,1,1,Pruebat,0,1,0,0,0,0,1,1,2,1,2,1,1,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,Hibrida,3,Presencial,1,1,Internet_Residencial,1,0,0,0,0,0,0,0,,0,1,2,Zoom,1,0,0,0,0,0,,4,0,0,0,1,Señal,1,0,0,0,0,0,0,Plataforma Material_Periodicos,0,0,0,1,1,0,,1.004,1.332,2,4,0,1
05-02-0232-46,5914306376,42,201703,055914306376,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,02/06/2005,16,1,1,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,1,0,0,1,4,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,1,0,0,Terraza_Fundida,0,0,0,0,1,Otro,0,0,0,0,1,Celulares Cable Electricidad Internet,1,0,1,1,0,0,1,1,Gas,0,1,0,Refri Lavadora Micro Compu Smart_Tv Impresora,1,0,1,1,1,0,1,1,1,1,1,5,5,Ninguno,0,2,1,2_o_Menos,1,Estudiar,0,1,0,0,0,1,1,1,Guias Pruebat Reforzamiento,1,1,1,0,0,0,1,1,1,1,1,2,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,A_Distancia,2,Presencial,1,1,Internet_Residencial Celular_Datos,1,1,0,0,0,0,0,0,,0,1,3,Zoom Google_Meet,1,1,0,0,0,0,,4,0,0,0,1,Plataforma_Virtual Falta_Motivacion,0,0,1,0,0,1,0,Modulo_o_Guia Plataforma,0,0,1,1,0,0,,0.039,-0.287,2,1,0,0
05-02-0232-46,6115674715,42,201692,056115674715,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,22/03/2005,17,2,1,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,1,0,0,1,4,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,1,0,0,Terraza_Fundida,0,0,0,0,1,Entubada,0,0,1,0,0,Celulares Drenaje Cable Electricidad Basura Internet,1,1,1,1,1,0,1,1,Gas,0,1,0,Refri Lavadora Micro Compu Smart_Tv Horno_Tostador Impresora,1,0,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,2_o_Menos,1,Estudiar Trabajar,0,1,1,0,0,1,1,1,Pruebat,0,1,0,0,0,0,2,1,2,1,1,2,1,3,0,0,1,0,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,1,2,2,2,2,1,1,1,2,1,1,4,0,0,0,1,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,A_Distancia,2,Presencial,1,1,Internet_Residencial,1,0,0,0,0,0,0,0,,0,2,2,Zoom Whatsapp,1,0,1,0,0,0,,4,0,0,0,1,Plataforma_Virtual,0,0,1,0,0,0,0,Plataforma Material_Periodicos,0,0,0,1,1,0,,-0.148,0.944,1,4,0,1
05-02-0232-46,6284789245,42,201712,056284789245,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,21/08/2005,16,1,1,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,1,0,0,1,5,1,5,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,1,0,0,Lamina,0,1,0,0,0,Fuente_Natural,1,0,0,0,0,Celulares Drenaje Electricidad Basura Telefono_Fijo Internet,1,1,0,1,1,1,1,1,Gas,0,1,0,Refri Lavadora Micro Compu Smart_Tv Impresora,1,0,1,1,1,0,1,1,1,1,1,5,5,Ninguno,0,7,1,6_o_Mas,3,Estudiar,0,1,0,0,0,1,1,1,Pruebat,0,1,0,0,0,0,1,1,3,1,1,3,1,4,0,0,0,1,4,0,0,0,1,2,0,1,0,0,4,0,0,0,1,4,0,0,0,1,2,0,1,0,0,4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,A_Distancia,2,Presencial,1,1,Internet_Residencial Celular_Datos Recarga_Internet,1,1,1,0,0,0,0,0,,1,1,3,Zoom Google_Meet Whatsapp,1,1,1,0,0,0,,4,0,0,0,1,Señal Economicos Plataforma_Virtual,1,1,1,0,0,0,0,Plataforma,0,0,0,1,0,0,,0.354,0.605,2,3,0,1
05-02-0232-46,6353237630,42,201701,056353237630,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,28/02/2004,18,3,1,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,1,1,0,1,1,1,2,Torta_Cemento,0,0,1,0,0,0,Block,0,0,0,1,0,0,Lamina,0,1,0,0,0,Chorro_Publico,0,1,0,0,0,Celulares Drenaje Cable Electricidad Basura Internet,1,1,1,1,1,0,1,1,Gas,0,1,0,Refri Compu Smart_Tv Impresora,1,0,1,1,0,0,0,1,1,1,1,5,5,6,6,1,0,No_Lee,0,Estudiar Trabajar,0,1,1,0,0,1,1,1,Pruebat,0,1,0,0,0,0,3,1,2,1,1,2,1,2,0,1,0,0,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,2,2,2,1,3,1,1,1,1,1,1,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,4,0,0,0,1,2,0,1,0,0,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,A_Distancia,2,Presencial,1,1,Internet_Residencial,1,0,0,0,0,0,0,0,,0,2,2,Zoom Whatsapp,1,0,1,0,0,0,,4,0,0,0,1,Señal,1,0,0,0,0,0,0,Clases_Tv,0,1,0,0,0,0,,-0.603,-0.239,1,1,0,0
05-02-0232-46,6386577532,42,201714,056386577532,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16/09/2003,18,3,0,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,1,1,0,1,4,1,4,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,1,0,0,Lamina,0,1,0,0,0,Comprada,0,0,0,1,0,Celulares Drenaje Cable Electricidad Basura Internet,1,1,1,1,1,0,1,1,,0,0,0,Refri Lavadora Micro Compu Smart_Tv Horno_Tostador,1,0,1,1,1,1,1,0,1,1,1,6,6,4,4,7,1,2_o_Menos,1,Estudiar Trabajar,0,1,1,0,0,1,1,1,Pruebat Reforzamiento,0,1,1,0,0,0,1,1,3,1,1,3,1,4,0,0,0,1,4,0,0,0,1,2,0,1,0,0,4,0,0,0,1,4,0,0,0,1,2,0,1,0,0,4,0,0,0,1,2,3,1,1,1,1,1,3,1,1,1,3,0,0,1,0,2,0,1,0,0,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,2,0,1,0,0,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,A_Distancia,2,Presencial,1,1,Internet_Residencial,1,0,0,0,0,0,0,0,,,1,2,Zoom,1,0,0,0,0,0,,4,0,0,0,1,Señal Falta_Motivacion,1,0,0,0,0,1,0,Modulo_o_Guia Plataforma,0,0,1,1,0,0,,-0.369,-0.148,1,1,0,0
05-02-0232-46,6542553509,42,201682,056542553509,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,14/09/2004,17,2,1,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,1,1,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,1,0,0,Terraza_Fundida,0,0,0,0,1,Otro,0,0,0,0,1,Celulares Drenaje Cable Electricidad Basura Internet,1,1,1,1,1,0,1,0,Gas,0,1,0,Refri Lavadora Micro Compu Smart_Tv Horno_Tostador Impresora,1,0,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,2_o_Menos,1,No_Se,1,0,0,0,0,1,1,1,Pruebat,0,1,0,0,0,0,1,1,2,1,3,2,1,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,2,0,1,0,0,3,0,0,1,0,4,0,0,0,1,1,2,2,2,3,1,2,1,1,1,1,4,0,0,0,1,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,2,0,1,0,0,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,A_Distancia,2,Presencial,1,1,Internet_Residencial Celular_Datos,1,1,0,0,0,0,0,0,,0,1,3,Zoom,1,0,0,0,0,0,,3,0,0,1,0,Señal Falta_Motivacion,1,0,0,0,0,1,0,Modulo_o_Guia Plataforma,0,0,1,1,0,0,,-0.069,0.191,1,2,0,0
05-02-0232-46,7295103265,42,201710,057295103265,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,11/10/2004,17,2,0,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,1,0,0,1,3,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,1,0,0,Lamina,0,1,0,0,0,Otro,0,0,0,0,1,Celulares Drenaje Cable Electricidad Basura Telefono_Fijo Internet,1,1,1,1,1,1,1,1,,0,0,0,Refri Micro Compu Smart_Tv Horno_Tostador,1,0,1,1,1,1,0,0,0,1,1,5,5,5,5,3,1,3_A_5,2,Estudiar Trabajar,0,1,1,0,0,1,1,1,Guias Pruebat Reforzamiento,1,1,1,0,0,0,1,1,1,1,1,2,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,A_Distancia,2,Presencial,1,1,Internet_Residencial,1,0,0,0,0,0,0,0,,1,1,3,Zoom,1,0,0,0,0,0,,4,0,0,0,1,Señal Economicos Plataforma_Virtual Falta_Motivacion,1,1,1,0,0,1,0,Modulo_o_Guia Plataforma,0,0,1,1,0,0,,0.664,0.958,2,4,0,1
05-02-0232-46,7595921053,42,201715,057595921053,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,16/09/2005,16,1,0,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,5,1,0,0,1,4,1,4,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,1,0,0,Terraza_Fundida,0,0,0,0,1,Entubada,0,0,1,0,0,Celulares Electricidad Internet,1,0,0,1,0,0,1,1,Gas,0,1,0,Refri Lavadora Micro Compu Smart_Tv Horno_Tostador,1,0,1,1,1,1,1,0,1,1,0,5,5,5,5,2,1,2_o_Menos,1,Estudiar Trabajar,0,1,1,0,0,1,1,1,Pruebat,0,1,0,0,0,0,1,1,3,1,2,1,1,4,0,0,0,1,4,0,0,0,1,2,0,1,0,0,4,0,0,0,1,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,3,0,0,1,0,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,Presencial,1,A_Distancia,2,1,Internet_Residencial,1,0,0,0,0,0,0,0,,0,1,2,Zoom,1,0,0,0,0,0,,3,0,0,1,0,Señal,1,0,0,0,0,0,0,Plataforma Material_Periodicos,0,0,0,1,1,0,,-0.656,-0.666,1,1,0,0
05-02-0232-46,8878669619,42,201717,058878669619,L,L1,L1,22,Región 5 o Central,5,Escuintla,05,Santa Lucía Cotzumalguapa,0502,Diversificado,46,Bachillerato,001,29/09/2005,16,1,0,privado,Rural,12,Matutina,31,Anual,1,05-007,2022,2,1,0,0,1,4,1,3,Piso_Ceramico,0,0,0,0,1,0,Block,0,0,0,1,0,0,Lamina,0,1,0,0,0,Fuente_Natural,1,0,0,0,0,Celulares Cable Electricidad Telefono_Fijo Internet,1,0,1,1,0,1,1,1,Electricidad,0,0,1,Refri Lavadora Micro Secadora Compu Smart_Tv Horno_Tostador,1,1,1,1,1,1,1,0,1,1,1,5,5,5,5,5,1,3_A_5,2,Estudiar Trabajar,0,1,1,0,0,1,1,1,Pruebat,0,1,0,0,0,0,3,1,1,1,1,1,1,2,0,1,0,0,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,4,0,0,0,1,Presencial,1,Presencial,1,1,Internet_Residencial Celular_Datos,1,1,0,0,0,0,0,0,,0,1,3,Zoom Whatsapp,1,0,1,0,0,0,,3,0,0,1,0,Señal Plataforma_Virtual Falta_Apoyo No_Dispositivo_Elec Falta_Motivacion,1,0,1,1,1,1,0,Modulo_o_Guia Plataforma Material_Periodicos,0,0,1,1,1,0,,-1.299,0.719,1,3,0,1
